unidade;ano;mes;cond_adquirida;altas_validas;tx_cond_adquirida
HAC;2022;1;12;203,0;0,059113300492610835
HAC;2022;2;15;181,0;0,08287292817679558
HAC;2022;3;10;198,0;0,050505050505050504
HAC;2022;4;22;208,0;0,10576923076923077
HAC;2022;5;17;251,0;0,06772908366533864
HAC;2022;6;11;258,0;0,04263565891472868
HAC;2022;7;15;244,0;0,06147540983606557
HAC;2022;8;7;252,0;0,027777777777777776
HAC;2022;9;6;199,0;0,03015075376884422
HAC;2022;10;7;239,0;0,029288702928870293
HAC;2022;11;6;193,0;0,031088082901554404
HAC;2022;12;16;248,0;0,06451612903225806
HAC;2023;1;4;203,0;0,019704433497536946
HAC;2023;2;2;224,0;0,008928571428571428
HAC;2023;3;10;298,0;0,03355704697986577
HAC;2023;4;13;257,0;0,05058365758754864
HAC;2023;5;15;264,0;0,056818181818181816
HAC;2023;6;15;276,0;0,05434782608695652
HAC;2023;7;9;275,0;0,03272727272727273
HAC;2023;8;13;276,0;0,04710144927536232
HAC;2023;9;12;287,0;0,041811846689895474
HAC;2023;10;16;277,0;0,05776173285198556
HAC;2023;11;16;235,0;0,06808510638297872
HAC;2023;12;16;264,0;0,06060606060606061
HAC;2024;1;25;263,0;0,09505703422053231
HAC;2024;2;3;282,0;0,010638297872340425
HAC;2024;3;24;307,0;0,0781758957654723
HAC;2024;4;16;327,0;0,04892966360856269
HAC;2024;5;18;311,0;0,05787781350482315
HAC;2024;6;26;280,0;0,09285714285714286
HAC;2024;7;33;290,0;0,11379310344827587
HAC;2024;8;14;325,0;0,043076923076923075
HAC;2024;9;16;293,0;0,05460750853242321
HAC;2024;10;16;323,0;0,04953560371517028
HAC;2024;11;27;328,0;0,08231707317073171
HAC;2024;12;22;295,0;0,07457627118644068
HAC;2025;1;22;318,0;0,06918238993710692
HAC;2025;2;16;273,0;0,05860805860805861
HAC;2025;3;18;322,0;0,055900621118012424
HAC;2025;4;12;327,0;0,03669724770642202
HAC;2025;5;22;327,0;0,0672782874617737
HAC;2025;6;18;306,0;0,058823529411764705
HAC;2025;7;20;327,0;0,06116207951070336
HAC;2025;8;16;305,0;0,05245901639344262
HAC;2025;9;17;312,0;0,05448717948717949
HAC;2025;10;19;324,0;0,05864197530864197
HAC;2025;11;16;326,0;0,049079754601226995
HAC;2025;12;13;293,0;0,04436860068259386
HEM;2022;1;20;205,0;0,0975609756097561
HEM;2022;2;38;138,0;0,2753623188405797
HEM;2022;3;23;119,0;0,19327731092436976
HEM;2022;4;9;121,0;0,0743801652892562
HEM;2022;5;19;145,0;0,1310344827586207
HEM;2022;6;27;174,0;0,15517241379310345
HEM;2022;7;22;162,0;0,13580246913580246
HEM;2022;8;14;149,0;0,09395973154362416
HEM;2022;9;17;185,0;0,0918918918918919
HEM;2022;10;22;161,0;0,13664596273291926
HEM;2022;11;38;176,0;0,2159090909090909
HEM;2022;12;40;198,0;0,20202020202020202
HEM;2023;1;32;160,0;0,2
HEM;2023;2;23;152,0;0,1513157894736842
HEM;2023;3;30;162,0;0,18518518518518517
HEM;2023;4;12;149,0;0,08053691275167785
HEM;2023;5;38;145,0;0,2620689655172414
HEM;2023;6;36;162,0;0,2222222222222222
HEM;2023;7;26;131,0;0,1984732824427481
HEM;2023;8;36;179,0;0,2011173184357542
HEM;2023;9;25;133,0;0,18796992481203006
HEM;2023;10;25;123,0;0,2032520325203252
HEM;2023;11;24;131,0;0,183206106870229
HEM;2023;12;17;134,0;0,12686567164179105
HEM;2024;1;27;248,0;0,10887096774193548
HEM;2024;2;25;376,0;0,06648936170212766
HEM;2024;3;26;418,0;0,06220095693779904
HEM;2024;4;24;374,0;0,06417112299465241
HEM;2024;5;25;256,0;0,09765625
HEM;2024;6;31;164,0;0,18902439024390244
HEM;2024;7;56;158,0;0,35443037974683544
